name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm
UB1016x305x272,I,990.1,300.0,16.5,31.0,30.0,347.0,272.3,554000.0,11200.0,12800.0,40.0,14000.0,934.0,1470.0,6.35
UB1016x305x249,I,980.1,300.0,16.5,26.0,30.0,317.0,248.7,481000.0,9820.0,11300.0,39.0,11800.0,784.0,1240.0,6.09
UB1016x305x222,I,970.3,300.0,16.0,21.1,30.0,283.0,222.0,408000.0,8410.0,9810.0,38.0,9550.0,636.0,1020.0,5.81
UB914x419x388,I,921.0,420.5,21.4,36.6,24.1,494.0,388.0,720000.0,15600.0,17700.0,38.2,45400.0,2160.0,3340.0,9.59
UB914x419x343,I,911.8,418.5,19.4,32.0,24.1,437.0,343.3,626000.0,13700.0,15500.0,37.8,39200.0,1870.0,2890.0,9.46
UB914x305x576,I,993.0,322.0,36.1,65.0,19.0,733.0,576.0,1102000.0,22200.0,26300.0,38.8,36500.0,2270.0,3660.0,7.06
UB914x305x521,I,981.0,319.0,33.0,58.9,19.0,664.0,521.0,982000.0,20000.0,23600.0,38.5,32100.0,2020.0,3240.0,6.96
UB914x305x474,I,971.0,316.0,30.0,54.1,19.0,604.0,474.0,886000.0,18200.0,21400.0,38.3,28700.0,1810.0,2900.0,6.89
UB914x305x425,I,961.0,313.0,26.9,49.0,19.0,542.0,425.0,788000.0,16400.0,19100.0,38.1,25200.0,1610.0,2560.0,6.82
UB914x305x381,I,951.0,310.0,24.4,43.9,19.0,486.0,381.0,697000.0,14600.0,17000.0,37.9,21900.0,1410.0,2240.0,6.72
UB914x305x345,I,943.0,308.0,22.1,39.9,19.0,440.0,345.0,626000.0,13300.0,15400.0,37.7,19500.0,1270.0,2000.0,6.66
UB914x305x313,I,932.0,309.0,21.1,34.5,19.0,398.0,313.0,548000.0,11800.0,13600.0,37.1,17000.0,1100.0,1750.0,6.54
UB914x305x289,I,926.6,307.7,19.5,32.0,19.1,368.0,289.1,504000.0,10900.0,12600.0,37.0,15600.0,1010.0,1600.0,6.51
UB914x305x271,I,923.0,307.0,18.4,30.0,19.0,346.0,271.0,472000.0,10200.0,11800.0,36.9,14500.0,946.0,1490.0,6.48
UB914x305x253,I,918.4,305.5,17.3,27.9,19.1,323.0,253.4,436000.0,9500.0,10900.0,36.8,13300.0,871.0,1370.0,6.42
UB914x305x238,I,915.0,305.0,16.5,25.9,19.0,304.0,238.0,406000.0,8880.0,10200.0,36.6,12300.0,806.0,1270.0,6.36
UB914x305x224,I,910.4,304.1,15.9,23.9,19.1,286.0,224.2,376000.0,8270.0,9530.0,36.3,11200.0,739.0,1160.0,6.27
UB914x305x201,I,903.0,303.3,15.1,20.2,19.1,256.0,200.9,325000.0,7200.0,8350.0,35.7,9420.0,621.0,982.0,6.07
UB838x292x226,I,850.9,293.8,16.1,26.8,17.8,289.0,226.5,340000.0,7980.0,9160.0,34.3,11400.0,773.0,1210.0,6.27
UB838x292x194,I,840.7,292.4,14.7,21.7,17.8,247.0,193.8,279000.0,6640.0,7640.0,33.6,9070.0,620.0,974.0,6.06
