name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W40X392,I,41.6,12.4,1.42,2.52,3.7,116,392,29900,1440,1710,16.1,803,130,212,2.64
W40X331,I,40.8,12.2,1.22,2.13,3.31,97.7,331,24700,1210,1430,15.9,644,106,172,2.57
W40X327,I,40.8,12.1,1.18,2.13,3.31,95.9,327,24500,1200,1410,16,640,105,170,2.58
W40X294,I,40.4,12,1.06,1.93,3.11,86.2,294,21900,1080,1270,15.9,562,93.5,150,2.55
W40X278,I,40.2,12,1.03,1.81,2.99,82.3,278,20500,1020,1190,15.8,521,87.1,140,2.52
W40X264,I,40,11.9,0.96,1.73,2.91,77.4,264,19400,971,1130,15.8,493,82.6,132,2.52
W40X235,I,39.7,11.9,0.83,1.58,2.76,69.1,235,17400,875,1010,15.9,444,74.6,118,2.54
W40X211,I,39.4,11.8,0.75,1.42,2.6,62.1,211,15500,786,906,15.8,390,66.1,105,2.51
W40X183,I,39,11.8,0.65,1.2,2.38,53.3,183,13200,675,774,15.7,331,56,88.3,2.49
W40X167,I,38.6,11.8,0.65,1.03,2.21,49.3,167,11600,600,693,15.3,283,47.9,76,2.4
W40X149,I,38.2,11.8,0.63,0.83,2.01,43.8,149,9800,513,598,15,229,38.8,62.2,2.29
W36X925,I,43.1,18.6,3.02,4.53,5.28,272,925,73000,3390,4130,16.4,4940,531,862,4.26
W36X853,I,43.1,18.2,2.52,4.53,5.28,251,853,70000,3250,3920,16.7,4600,505,805,4.28
W36X802,I,42.6,18,2.38,4.29,5.04,236,802,64800,3040,3660,16.6,4210,468,744,4.22
W36X723,I,41.8,17.8,2.17,3.9,4.65,213,723,57300,2740,3270,16.4,3700,416,658,4.17
W36X652,I,41.1,17.6,1.97,3.54,4.49,192,652,50600,2460,2910,16.2,3230,367,581,4.1
W36X529,I,39.8,17.2,1.61,2.91,3.86,156,529,39600,1990,2330,16,2490,289,454,4
W36X487,I,39.3,17.1,1.5,2.68,3.63,143,487,36000,1830,2130,15.8,2250,263,412,3.96
W36X441,I,38.9,17,1.36,2.44,3.39,130,441,32100,1650,1910,15.7,1990,235,368,3.92
W36X395,I,38.4,16.8,1.22,2.2,3.15,116,395,28500,1490,1710,15.7,1750,208,325,3.88
W36X361,I,38,16.7,1.12,2.01,2.96,106,361,25700,1350,1550,15.6,1570,188,293,3.85
W36X330,I,37.7,16.6,1.02,1.85,2.8,96.9,330,23300,1240,1410,15.5,1420,171,265,3.83
W36X302,I,37.3,16.7,0.945,1.68,2.63,89,302,21100,1130,1280,15.4,1300,156,241,3.82
W36X282,I,37.1,16.6,0.885,1.57,2.52,82.9,282,19600,1050,1190,15.4,1200,144,223,3.8
W36X262,I,36.9,16.6,0.84,1.44,2.39,77.2,262,17900,972,1100,15.3,1090,132,204,3.76
W36X247,I,36.7,16.5,0.8,1.35,2.3,72.5,247,16700,913,1030,15.2,1010,123,190,3.74
W36X231,I,36.5,16.5,0.76,1.26,2.21,68.2,231,15600,854,963,15.1,940,114,176,3.71
W36X256,I,37.4,12.2,0.96,1.73,2.48,75.3,256,16800,895,1040,14.9,528,86.5,137,2.65
W36X232,I,37.1,12.1,0.87,1.57,2.32,68,232,15000,809,936,14.8,468,77.2,122,2.62
W36X210,I,36.7,12.2,0.83,1.36,2.11,61.9,210,13200,719,833,14.6,411,67.5,107,2.58
W36X194,I,36.5,12.1,0.765,1.26,2.01,57,194,12100,664,767,14.6,375,61.9,97.7,2.56
W36X182,I,36.3,12.1,0.725,1.18,1.93,53.6,182,11300,623,718,14.5,347,57.6,90.7,2.55
W36X170,I,36.2,12,0.68,1.1,1.85,50,170,10500,581,668,14.5,320,53.2,83.8,2.53
W36X160,I,36,12,0.65,1.02,1.77,47,160,9760,542,624,14.4,295,49.1,77.3,2.5
W36X150,I,35.9,12,0.625,0.94,1.69,44.3,150,9040,504,581,14.3,270,45.1,70.9,2.47
W36X135,I,35.6,12,0.6,0.79,1.54,39.9,135,7800,439,509,14,225,37.7,59.7,2.38
W33X387,I,36,16.2,1.26,2.28,3.07,114,387,24300,1350,1560,14.6,1620,200,312,3.77
W33X354,I,35.6,16.1,1.16,2.09,2.88,104,354,22000,1240,1420,14.5,1460,181,282,3.74
W33X318,I,35.2,16,1.04,1.89,2.68,93.7,318,19500,1110,1270,14.5,1290,161,250,3.71
W33X291,I,34.8,15.9,0.96,1.73,2.52,85.6,291,17700,1020,1160,14.4,1160,146,226,3.68
W33X263,I,34.5,15.8,0.87,1.57,2.36,77.4,263,15900,919,1040,14.3,1040,131,202,3.66
W33X241,I,34.2,15.9,0.83,1.4,2.19,71.1,241,14200,831,940,14.1,933,118,182,3.62
W33X221,I,33.9,15.8,0.775,1.28,2.06,65.3,221,12900,759,857,14.1,840,106,164,3.59
W33X201,I,33.7,15.7,0.715,1.15,1.94,59.1,201,11600,686,773,14,749,95.2,147,3.56
W33X169,I,33.8,11.5,0.67,1.22,1.92,49.5,169,9290,549,629,13.7,310,53.9,84.4,2.5
W33X152,I,33.5,11.6,0.635,1.06,1.76,44.9,152,8160,487,559,13.5,273,47.2,73.9,2.47
W33X141,I,33.3,11.5,0.605,0.96,1.66,41.5,141,7450,448,514,13.4,246,42.7,66.9,2.43
W33X130,I,33.1,11.5,0.58,0.855,1.56,38.3,130,6710,406,467,13.2,218,37.9,59.5,2.39
W33X118,I,32.9,11.5,0.55,0.74,1.44,34.7,118,5900,359,415,13,187,32.6,51.3,2.32
W30X391,I,33.2,15.6,1.36,2.44,3.23,115,391,20700,1250,1450,13.4,1550,198,310,3.67
W30X357,I,32.8,15.5,1.24,2.24,3.03,105,357,18700,1140,1320,13.3,1390,179,279,3.64
W30X326,I,32.4,15.4,1.14,2.05,2.84,95.9,326,16800,1040,1190,13.2,1240,162,252,3.6
W30X292,I,32,15.3,1.02,1.85,2.64,86,292,14900,930,1060,13.2,1100,144,223,3.58
W30X261,I,31.6,15.2,0.93,1.65,2.44,77,261,13100,829,943,13.1,959,127,196,3.53
W30X235,I,31.3,15.1,0.83,1.5,2.29,69.3,235,11700,748,847,13,855,114,175,3.51
W30X211,I,30.9,15.1,0.775,1.32,2.1,62.3,211,10300,665,751,12.9,757,100,155,3.49
W30X191,I,30.7,15,0.71,1.19,1.97,56.1,191,9200,600,675,12.8,673,89.5,138,3.46
W30X173,I,30.4,15,0.655,1.07,1.85,50.9,173,8230,541,607,12.7,598,79.8,123,3.42
W30X148,I,30.7,10.5,0.65,1.18,1.83,43.6,148,6680,436,500,12.4,227,43.3,68,2.28
W30X132,I,30.3,10.5,0.615,1,1.65,38.8,132,5770,380,437,12.2,196,37.2,58.4,2.25
W30X124,I,30.2,10.5,0.585,0.93,1.58,36.5,124,5360,355,408,12.1,181,34.4,54,2.23
W30X116,I,30,10.5,0.565,0.85,1.5,34.2,116,4930,329,378,12,164,31.3,49.2,2.19
W30X108,I,29.8,10.5,0.545,0.76,1.41,31.7,108,4470,299,346,11.9,146,27.9,43.9,2.15
W30X99,I,29.7,10.5,0.52,0.67,1.32,29,99,3990,269,312,11.7,128,24.5,38.6,2.1
W30X90,I,29.5,10.4,0.47,0.61,1.26,26.3,90,3610,245,283,11.7,115,22.1,34.7,2.09
W27X539,I,32.5,15.3,1.97,3.54,4.33,159,539,25600,1570,1890,12.7,2110,277,437,3.65
